query,relevant_doc_ids
"Which products contain garlic powder of Utz brand?","[258,276,288,308,325,372,402,404,449,495]"
"Find all products by the brand Kikkoman","[7,8,289,376]"
"Which products are from the brand Spice Islands?","[15,33,38,49,60,71,88,107,114,172]"
"Which products by Goya Food contain beans?","[169,204,271,375]"
"Show me all items containing sauce","[3,28,38,45,60,88,107,111,114,154,174,289,329,376,405,410,430,457"
"List of Twinings products containing tea","[151,301,351,357,387,480]"
"Find all products have pasta ","[19,113,155,280,460]"
"Which products contain pineapple?","[3,14,64,174,259,296,323,405,434,440,453,483]"
"Which products by Nalley contain 'monosodium glutamate'?","[166,186]"
"Show me all the coffee products","[107,124,128,217,235,2388,314,318,341,382,394]"
"Find all products containing cinnamon","[14,49,69,89,105,107,113,221,242,261,487,496]"
"List all products manufactured by 'goya foods, inc.'","[17,95,121,169,173,204,234,266,271,297,375,390,428,458]"
"What products are made by the brand 'Spice Islands'?","[15, 33, 38, 49, 60, 71, 88, 107, 114, 172]"
"Find all products by the brand Polaner","[27,34]"
"List all products in the fresh food category","[4,6,7,8,9,29,31,130,131,133,136,137,138,140,141]"
"Show all products manufactured by b&g foods, inc.","[4,27,34,48,90,255]"
"Which products contain vitamin a palmitate?","[6,7,8,13,31,156,244,265,312,453]"
"Fresh food products contain carrageenan?","[6,7,8,13,31,136,137,140]"
"Find all Simply Asia products","[3,28]"
"Which products contain orange juice?","[3,168,253,259,403]"
"Which products contain orange peel?","[27,46,129,200,240,289,474]"
"Which products contain orange juice or orange peel?","[3,168,253,259,403,27,46,129,200,240,289,474]"




